Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
467	 	 	 	335.8316	545.17926	 	 	 	 
468	 	 	 	330.91455	550.2549	 	 	 	 
469	 	 	 	325.18954	551.48004	 	 	 	 
470	 	 	 	317.72327	550.874	 	 	 	 
471	 	 	 	310.31805	551.3542	 	 	 	 
472	 	 	 	301.79312	553.8813	 	 	 	 
473	 	 	 	293.65115	556.3377	 	 	 	 
474	 	 	 	288.36942	557.938	 	 	 	 
475	 	 	 	284.83502	557.5304	 	 	 	 
476	 	 	 	284.63907	554.58844	 	 	 	 
477	 	 	 	285.45593	552.1554	 	 	 	 
478	 	 	 	283.11282	550.4986	 	 	 	 
479	 	 	 	278.0371	549.00244	 	 	 	 
480	 	 	 	273.5046	548.0766	 	 	 	 
481	 	 	 	267.80078	546.93384	 	 	 	 
482	 	 	 	260.5169	545.49023	 	 	 	 
483	 	 	 	249.1851	544.8143	 	 	 	 
484	 	 	 	232.9018	543.2194	 	 	 	 
485	 	 	 	215.2166	539.1188	 	 	 	 
486	 	 	 	199.3171	535.2587	 	 	 	 
487	 	 	 	183.10931	532.1137	 	 	 	 
488	 	 	 	164.96185	530.25885	 	 	 	 
489	 	 	 	149.36554	528.95435	 	 	 	 
490	 	 	 	136.32074	528.0572	 	 	 	 
491	 	 	 	123.54436	528.08276	 	 	 	 
492	 	 	 	111.048676	530.6751	 	 	 	 
493	 	 	 	97.80669	533.21625	 	 	 	 
494	 	 	 	83.47391	536.5454	 	 	 	 
495	 	 	 	68.531586	538.9047	 	 	 	 
496	 	 	 	59.676975	541.6655	 	 	 	 
497	 	 	 	52.316	544.98535	 	 	 	 
498	 	 	 	53.06593	546.3096	 	 	 	 
499	 	 	 	55.56	545.5646	 	 	 	 
500	 	 	 	56.721676	543.63403	 	 	 	 
501	 	 	 	56.762695	541.8244	 	 	 	 
502	 	 	 	57.166542	540.3748	 	 	 	 
503	 	 	 	57.268738	535.68024	 	 	 	 
504	 	 	 	58.27495	529.1934	 	 	 	 
505	 	 	 	57.516598	522.7707	 	 	 	 
506	 	 	 	54.10898	514.6463	 	 	 	 
507	 	 	 	48.08535	503.5395	 	 	 	 
508	 	 	 	40.63961	490.93628	 	 	 	 
509	 	 	 	36.6575	479.71976	 	 	 	 
510	 	 	 	36.388798	470.00433	 	 	 	 
511	 	 	 	35.667156	459.25717	 	 	 	 
512	 	 	 	33.52956	451.81302	 	 	 	 
513	 	 	 	31.077982	445.21527	 	 	 	 
514	 	 	 	31.420277	438.49826	 	 	 	 
515	 	 	 	32.274654	433.95938	 	 	 	 
516	 	 	 	30.938017	431.18774	 	 	 	 
517	 	 	 	29.378859	429.55978	 	 	 	 
518	 	 	 	27.547907	427.89404	 	 	 	 
519	 	 	 	27.215847	425.79962	 	 	 	 
520	 	 	 	27.676008	423.1352	 	 	 	 
521	 	 	 	27.572086	422.1728	 	 	 	 
522	 	 	 	26.963192	421.34042	 	 	 	 
523	 	 	 	27.401674	421.4622	 	 	 	 
524	 	 	 	28.898844	422.83948	 	 	 	 
525	 	 	 	30.430452	424.22708	 	 	 	 
526	 	 	 	29.409428	423.90836	 	 	 	 
527	 	 	 	26.33944	422.18427	 	 	 	 
528	 	 	 	23.678717	420.66254	 	 	 	 
